antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,connection,Line_X,Line_Y,dummy
Milk,Butter,0.1568627450980392,0.16339869281045752,0.0457516339869281,0.29166666666666663,1.7849999999999997,0.02012046648724849,1.1810841983852365,0.521594684385382,T-119,14,229,1
Butter,Milk,0.16339869281045752,0.1568627450980392,0.0457516339869281,0.27999999999999997,1.785,0.02012046648724849,1.1710239651416123,0.5256696428571428,T-119,33,108,1
Oranges,Butter,0.1895424836601307,0.16339869281045752,0.0457516339869281,0.24137931034482757,1.4772413793103447,0.01478063992481524,1.102792632204397,0.3986175115207373,T-168,48,246,1
Butter,Oranges,0.16339869281045752,0.1895424836601307,0.0457516339869281,0.27999999999999997,1.4772413793103447,0.01478063992481524,1.1256354393609296,0.3861607142857142,T-168,33,108,1
Butter,Potatoes,0.16339869281045752,0.17647058823529413,0.058823529411764705,0.36,2.0399999999999996,0.02998846597462514,1.2867647058823528,0.6093749999999999,T-78,33,108,1
Potatoes,Butter,0.17647058823529413,0.16339869281045752,0.058823529411764705,0.3333333333333333,2.04,0.02998846597462514,1.2549019607843137,0.619047619047619,T-78,21,262,1
Butter,Tea,0.16339869281045752,0.1503267973856209,0.05228758169934641,0.32,2.128695652173913,0.02772437951215345,1.2495194156093812,0.6337890625,T-109,33,108,1
Tea,Butter,0.1503267973856209,0.16339869281045752,0.05228758169934641,0.3478260869565218,2.128695652173913,0.02772437951215345,1.282788671023965,0.6240384615384615,T-109,25,270,1
Tomatoes,Butter,0.17647058823529413,0.16339869281045752,0.0457516339869281,0.25925925925925924,1.5866666666666664,0.016916570549788536,1.1294117647058826,0.4489795918367346,T-152,26,272,1
Butter,Tomatoes,0.16339869281045752,0.17647058823529413,0.0457516339869281,0.27999999999999997,1.5866666666666664,0.016916570549788536,1.1437908496732025,0.44196428571428553,T-152,33,108,1
Yogurt,Butter,0.16993464052287582,0.16339869281045752,0.032679738562091505,0.19230769230769232,1.176923076923077,0.004912640437438592,1.035792094615624,0.1811023622047244,T-90,28,271,1
Butter,Yogurt,0.16339869281045752,0.16993464052287582,0.032679738562091505,0.2,1.176923076923077,0.004912640437438592,1.037581699346405,0.17968749999999997,T-90,33,108,1
Cheese,Cereal,0.1830065359477124,0.20261437908496732,0.0784313725490196,0.4285714285714286,2.1152073732718897,0.04135161689948311,1.3954248366013073,0.6453333333333334,T-148,10,151,1
Cereal,Cheese,0.20261437908496732,0.1830065359477124,0.0784313725490196,0.3870967741935484,2.1152073732718897,0.04135161689948311,1.3329893360853113,0.6612021857923497,T-148,34,129,1
Cereal,Chicken,0.20261437908496732,0.13071895424836602,0.0457516339869281,0.22580645161290322,1.7274193548387096,0.019266094237259168,1.1228213507625273,0.528103044496487,T-133,34,129,1
Chicken,Cereal,0.13071895424836602,0.20261437908496732,0.0457516339869281,0.35,1.7274193548387096,0.019266094237259168,1.2267471091000504,0.4844253490870031,T-133,13,166,1
Cereal,Coffee,0.20261437908496732,0.21568627450980393,0.05228758169934641,0.25806451612903225,1.1964809384164221,0.008586441112392672,1.0571184995737426,0.2059426229508197,T-187,34,129,1
Coffee,Cereal,0.21568627450980393,0.20261437908496732,0.05228758169934641,0.24242424242424243,1.1964809384164223,0.008586441112392672,1.0525490196078433,0.20937500000000003,T-187,68,186,1
Cereal,Eggs,0.20261437908496732,0.17647058823529413,0.0457516339869281,0.22580645161290322,1.2795698924731183,0.009996155324875043,1.0637254901960784,0.2740046838407493,T-182,34,129,1
Eggs,Cereal,0.17647058823529413,0.20261437908496732,0.0457516339869281,0.25925925925925924,1.2795698924731183,0.009996155324875043,1.0764705882352943,0.2653061224489795,T-182,40,197,1
